mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased
0.010266900062561035,0.00038026416165754754,0.012559890747070312,0.0002526860726442891,6.579332246575682e-07,{'var_smoothing': 6.579332246575682e-07},0.6755191944619258,0.6673379483952171,0.6649043303121853,0.6724572004028198,0.670054668393037,0.004169525006197385,26,0.5927868537794557,0.5879201171946559,0.5810871810434316,0.590120443122706,0.5879786487850622,0.0043359506406866625,26,0.19162065605716141,0.1856,0.16655823031880285,0.18352788586251625,0.18182669305962013,0.009302950713132339,26
0.010270118713378906,0.0006681535733715544,0.011781454086303711,0.00024025430870489674,5.336699231206313e-07,{'var_smoothing': 5.336699231206313e-07},0.6755191944619258,0.6674638137193203,0.6649043303121853,0.6724572004028198,0.6700861347240629,0.00414932991527046,24,0.5927868537794557,0.5880029949714314,0.5810871810434316,0.590120443122706,0.5879993682292561,0.004335819456634718,25,0.19162065605716141,0.1856594110115237,0.16655823031880285,0.18352788586251625,0.18184154581250106,0.00930900863544731,25
0.010192155838012695,0.0007431843657915191,0.012384772300720215,0.0003248570378838963,4.3287612810830526e-07,{'var_smoothing': 4.3287612810830526e-07},0.6755191944619258,0.6674638137193203,0.6649043303121853,0.672583081570997,0.6701176050161072,0.004167630758876784,21,0.5927868537794557,0.5880029949714314,0.5810871810434316,0.5902031519463857,0.588020045435176,0.004346070501700717,23,0.19162065605716141,0.1856594110115237,0.16655823031880285,0.1835874148556601,0.18185642806078703,0.009311739863280788,23
0.010620474815368652,0.00037918323856367793,0.012269854545593262,0.0004185708753486459,3.5111917342151277e-07,{'var_smoothing': 3.5111917342151277e-07},0.6755191944619258,0.6674638137193203,0.6649043303121853,0.672583081570997,0.6701176050161072,0.004167630758876784,21,0.5927868537794557,0.5880029949714314,0.5810871810434316,0.5902031519463857,0.588020045435176,0.004346070501700717,23,0.19162065605716141,0.1856594110115237,0.16655823031880285,0.1835874148556601,0.18185642806078703,0.009311739863280788,23
0.00985562801361084,0.000751127290040129,0.012053489685058594,0.00020843341171439947,2.848035868435799e-07,{'var_smoothing': 2.848035868435799e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.010249972343444824,0.0007390136921081134,0.012030303478240967,0.0003572734576698737,2.310129700083158e-07,{'var_smoothing': 2.310129700083158e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.009935557842254639,0.0005019838885706534,0.011844098567962646,0.00011756131899809998,1.873817422860383e-07,{'var_smoothing': 1.873817422860383e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.010187625885009766,0.0007206684783402412,0.012324392795562744,0.00013775884248797072,1.519911082952933e-07,{'var_smoothing': 1.519911082952933e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.01065915822982788,0.0004169669114841682,0.012319564819335938,0.00015639032120982286,1.232846739442066e-07,{'var_smoothing': 1.232846739442066e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.010250568389892578,0.0004488433178500136,0.012460589408874512,0.0003514190580875769,1e-07,{'var_smoothing': 1e-07},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.0105971097946167,0.0006750963946506469,0.012444913387298584,0.0002147022764119551,8.111308307896873e-08,{'var_smoothing': 8.111308307896873e-08},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
0.010296344757080078,0.00044332416995152625,0.012337327003479004,9.112745156543826e-05,6.579332246575682e-08,{'var_smoothing': 6.579332246575682e-08},0.6753933291378226,0.6674638137193203,0.6649043303121853,0.6719536757301108,0.6699287872248597,0.0040398840771598415,30,0.5925451593995957,0.5880029949714314,0.5810871810434316,0.5889850182301741,0.5876550884111582,0.004151504358698924,30,0.19103313840155947,0.1856594110115237,0.16655823031880285,0.1806367771280052,0.1809718892149728,0.009097629618116217,30
